Part Number,,Cond,Qty In Stock,UM,Description,,W/H,Serial No.,,Reserved Qty,,,
31077-111,,AR,1,EA,SPOILER SERVO CONTROL,,Airbus,19068,,0,,,
1002793-2,,OH,1,EA,PRECOOLER-BLEED AIR E190,,Embraer,2010040917,,0,,,
1002832-1,,OH,1,EA,DUAL HEAT EXHANGER,,Embraer,774,,0,,,
31077-111,,AR,1,EA,SPOILER SERVO CONTROL,,Airbus,19076,,0,,,
31077-111,,AR,1,EA,SPOILER SERVO CONTROL,,Airbus,19075,,0,,,
3107-89,,AR,1,EA,MARKER ANTENNA,,Airbus,310789-3559,,0,,,
3107-89,,AR,1,EA,MARKER ANTENNA,,Airbus,1814,,0,,,
3107-89,,AR,1,EA,MARKER ANTENNA,,Airbus,1049,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,3661,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,3660,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,2687,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,2688,,0,,,
10065-5000-02,,SV,1,EA,FQIS DENSIMETER,,Boeing,9329,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,5905,,0,,,
310ZN01Y01,,AR,1,EA,"SENSOR,UNBALANCE CURRENT",,Airbus,5918,,0,,,
321200M02,,AR,1,EA,SPDBRK XDUCER UNIT,,Airbus,AK02639,,0,,,
3214-54,,AR,1,EA,EPSU SUPPLY UNIT,,Airbus,7117,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,8285,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,4269,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,3096,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,8825,,0,,,
10101000CK,,AI,1,EA,"VALVE, DRAIN LAV SERVICE PANEL",,Airbus,2315,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,5982,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,5970,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,4675,,0,,,
3214-54-10,,AR,1,EA,EPSU EMERGENCY POWER SUPPLY UNIT,,Airbus,3661,,0,,,
3214-55,,AR,1,EA,EPSU - EMERGENCY POWER SUPPLY UNIT,,Airbus,3240,,0,,,
3214-55,,AR,1,EA,EPSU - EMERGENCY POWER SUPPLY UNIT,,Airbus,3133,,0,,,
3214-55-10,,AR,1,EA,EPSU - EMERGENCY POWER SUPPLY UNIT,,Airbus,2525,,0,,,
322000M02,,AR,1,EA,RDDR TRANSDUCER UNIT,,Airbus,2181,,0,,,
322000M02,,AR,1,EA,RDDR TRANSDUCER UNIT,,Airbus,2049,,0,,,
330RU01B01E00,,AR,1,EA,"RELAY, GALLEY PWR SPLY",,Airbus,E0175,,0,,,
10148-0101,,SV,1,EA,FUEL QTY IND.,,Boeing,272,,0,,,
330RU01B01E00,,AR,1,EA,"RELAY, GALLEY PWR SPLY",,Airbus,E0175B,,0,,,
544122,,AR,1,EA,SWITCH - TOILET,,Airbus,2263,,0,,,
544122,,AR,1,EA,SWITCH - TOILET,,Airbus,2267,,0,,,
544122,,AR,1,EA,SWITCH - TOILET,,Airbus,2264,,0,,,
10166N01N00,,SV,1,EA,INDICATOR RUDDER TRIM,,Boeing,06114879BA,,0,,,
341E030000,,AR,1,EA,SOLENOID VALVE,,Airbus,2036,,0,,,
342300M01,,AR,1,EA,RDDR TRANSDUCER UNIT,,Airbus,10938,,0,,,
342300M01,,AR,1,EA,RDDR TRANSDUCER UNIT,,Airbus,10927,,0,,,
104003-2,,OH,1,EA,"EMERGENCY EVACUATIONSLIDE ASSY, FWD",,Embraer,EF1110,,0,,,
104003-2,,OH,1,EA,"EMERGENCY EVACUATIONSLIDE ASSY, FWD",,Embraer,EF0570,,0,,,
