AC_Type,MPN,DESIGNATION,ATA,CAPABILITY,PMA,DOA,DER,Code_OEM,Design_OEM
A330,Z111H0023130,ATTENDANT INDIC. PANEL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z111H0033130,ATTENDANT INDICATING PNL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z111H0033131,ATTENDANT INDICATING PNL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z111H0037130,ATTENDANT INDIC.PANEL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z111H0037131,ATTENDANT INDICATING PNL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z111H0039131,ATTENDANT INDICATION PNL,23,"EASA, FAA",,,,C9072,AIRBUS
A330,Z121H0002110,AFTER ATTENDANT PANEL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0002111,AAP-ADDITIONALATTENDANT P,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0006110,ADDITIONAL ATTENDANT PANE,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0006111,AAP-ADDITIONAL ATTENDANT,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0018110,PANEL ADDITION ATTENDANT,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0024110,ADDITIONAL ATTENDANT PANE,23,"EASA, FAA",,,,668E4,AIRBUS
A330,Z121H0032110,ADDITIONAL ATTENDANT PANE,23,"EASA, FAA",,,,C9072,AIRBUS
A330,Z121H0056110,AFTER ATTENDANT PANEL,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z121H0068110,ADDITIONAL ATTENDANT PANE,23,"EASA, FAA",,,,C9072,AIRBUS
