Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
1141;-302921498;AEROMARITIME;;FAUX
4439;;AEROMART;;FAUX
1362;1037864512;Aeromat;;FAUX
3948;;AEROMEC Portugal;;FAUX
1428;2136405054;AEROMECANIC;;FAUX
1878;902638709;AEROMECCANICA;;FAUX
40;2136404890;AEROMIL Australia;;FAUX
2482;;AeroMilitec S.A.;;FAUX
4634;;Aeromni Avionics;;FAUX
3176;;Aeronautic Investments;;FAUX
3491;;Aero-Nautical Electronics;;FAUX
3829;;Aeronautical Instrument & Autopilot;;FAUX
3440;;AERONAUTICAL SUPPORT;;FAUX
1734;2136405081;Aeronautix;;FAUX
67;2136405132;Aeronavali;;FAUX
4520;;AERONET;;FAUX
552;1214;AERONETICS;;FAUX
3234;;Aeroneuf Instruments LTD;;FAUX
2195;;Aeronics Aircraft Parts;;FAUX
4780;;Aeronorte;;FAUX
2699;;Aeronova;;FAUX
1438;1018593757;Aeropartes Brazil;;FAUX
455;1477;AEROPARTNERS UK;;FAUX
4088;;Aero-Parts Connections;;FAUX
3470;;AEROPARTS Inc;;FAUX
1244;917;Aeroperlas;;FAUX
4530;;AEROPIECES Ltd;;FAUX
2266;;AEROPLEX;;FAUX
2267;;Aeropol Aviation Services Corporation;;FAUX
1374;1040146743;AEROPOSTAL AIRLINES;;FAUX
1452;1354;AEROQUIP;;FAUX
3162;;AeroRepair;;FAUX
2861;;AEROREPUBLICA;;FAUX
2753;;AeroSave Ressources;;FAUX
3589;;Aeroscot Engineering LTD;;FAUX
4294;;AEROSERVICE;;FAUX
3825;;AEROSERVISAS, JSC;;FAUX
1563;764172138;Aerosonic Corp. Rep. Quote;;FAUX
4629;;AEROSOURCE;;FAUX
4217;;Aerospace Access Corporation;;FAUX
4576;;Aerospace Alliance, Inc;;FAUX
3012;;Aerospace Connections;;FAUX
1694;1485;Aerospace Distributors -Seattle;;FAUX
3822;;Aerospace Distributors Singapore;;FAUX
